Gene	Expression
A1BG_C	-0.284056
A1CF_C	-0.260131
A2LD1_C	0.400304
A4GALT_C	0.174979
AAAS_C	0.210105
AACS_C	-0.072872
AADAT_C	0.079440
AAED1_C	0.214066
AAGAB_C	0.042332
AAK1_C	-0.025603
AAMP_C	0.339708
AARS_C	0.068022
AARS2_C	-0.050712
AARSD1_C	0.362659
AASDH_C	-0.445810
AASDHPPT_C	0.142395
AASS_C	0.020271
AATF_C	0.484863
AATK_C	-0.173544
ABAT_C	0.371908
ABCA1_C	0.997170
ABCA10_C	0.131737
ABCA12_C	-0.162383
ABCA13_C	-0.136210
ABCA2_C	-0.265309
ABCA3_C	-0.002925
ABCA5_C	0.479989
ABCA7_C	-0.010354
ABCA9_C	0.028995
ABCB1_C	0.141689
ABCB10_C	0.206594
ABCB4_C	-0.471228
ABCB5_C	0.009425
ABCB6_C	-0.338720
ABCB7_C	-0.353492
ABCB8_C	0.077909
ABCB9_C	-0.015694
ABCC1_C	-0.366416
ABCC10_C	0.147161
ABCC11_C	-0.039784
ABCC2_C	1.662465
ABCC4_C	0.246447
ABCC5_C	-0.205481
ABCC6_C	0.758365
ABCC8_C	-0.200202
ABCC9_C	0.030415
ABCD1_C	0.618544
ABCD3_C	0.233312
ABCD4_C	0.148408
ABCE1_C	0.304816
ABCF1_C	0.177261
ABCF2_C	0.655802
ABCF3_C	0.511505
ABCG1_C	0.375938
ABCG2_C	0.148565
ABHD10_C	-0.206292
ABHD11_C	0.880255
ABHD12_C	-0.082077
ABHD13_C	0.097048
ABHD14A_C	-0.098231
ABHD14B_C	-0.140432
ABHD15_C	-0.132329
ABHD16A_C	-0.052057
ABHD2_C	0.174810
ABHD3_C	-0.116549
ABHD4_C	0.010125
ABHD5_C	0.039457
ABHD6_C	0.305243
ABHD8_C	-0.693434
ABI1_C	0.163892
ABI2_C	-0.557070
ABL1_C	0.091252
ABL2_C	0.205804
ABLIM1_C	0.600252
ABLIM2_C	-0.327315
ABLIM3_C	-0.105291
ABO_C	1.267371
ABP1_C	1.327996
ABR_C	0.106251
ABRACL_C	0.390617
ABT1_C	-0.037366
ABTB1_C	-0.455108
ABTB2_C	1.683963
ACAA1_C	0.624758
ACAA2_C	0.584827
ACACA_C	-0.140690
ACACB_C	-0.043353
