Gene	Expression
A1CF_T	1.08626
A2LD1_T	0
A4GALT_T	0
ABCA10_T	1.0678
ABCA12_T	0
ABCA13_T	0
ABCA7_T	1.02589
ABCB1_T	0
ABCB9_T	0
ABCC11_T	0
ABCC2_T	0
ABCC8_T	0
ABCD1_T	0
ABCG1_T	0
ABCG2_T	0
ABHD11_T	0
ABHD14A_T	0
ABHD3_T	0
ABLIM2_T	0
ABLIM3_T	0
ABO_T	0
ABP1_T	0
ABTB2_T	0
ACADL_T	0
ACAN_T	0.916018
ACAP1_T	0
ACCS_T	0
ACE2_T	0
ACHE_T	0
ACMSD_T	0
ACOT11_T	0
ACOT1_T	0
ACOT2_T	0
ACOT4_T	0
ACOX2_T	0
ACOXL_T	0
ACP5_T	0
ACRBP_T	0
ACRC_T	0
ACR_T	0
ACSBG1_T	1.12697
ACSL1_T	0
ACSL6_T	0
ACSM2A_T	0
ACSM2B_T	0
ACTG2_T	0
ACTL10_T	0
ACTN3_T	0
ACVR1C_T	1.01445
ACVRL1_T	0
ACY3_T	0
ACYP2_T	0
ADAM20_T	1.24114
ADAM21_T	0
ADAM28_T	0
ADAM33_T	0
ADAM8_T	0
ADAMTS13_T	0
ADAMTS14_T	1.2026
ADAMTS17_T	0
ADAMTS18_T	1.1618
ADAMTS5_T	1.08956
ADAMTS8_T	0
ADAMTSL2_T	0.923834
ADAP1_T	0
ADAP2_T	1.07906
ADARB2_T	0.887143
ADAT3_T	0
ADCK5_T	0
ADCY10_T	0
ADCY5_T	1.17146
ADCY8_T	0
ADCYAP1_T	0
ADC_T	0
ADH4_T	0
ADH6_T	0
ADHFE1_T	0
ADIPOQ_T	0.938052
ADORA2A_T	0
ADPRHL1_T	0
ADRA1A_T	0
ADRA1B_T	0
ADRA2A_T	0
ADRA2B_T	0
ADRA2C_T	0
ADRB2_T	0
ADSSL1_T	0
AFAP1L1_T	0.896351
AFP_T	0
AGAP11_T	0
AGAP2_T	0
AGAP4_T	0
AGAP5_T	0
AGAP6_T	0
AGAP8_T	0
AGAP9_T	0
AGBL2_T	0
AGBL3_T	0
AGFG2_T	0.956473
AGMAT_T	0.879977
AGMO_T	0
AGPAT2_T	0
AGPAT9_T	0
AGPHD1_T	0
AGT_T	0
AGXT2L1_T	0
AGXT_T	0
AHNAK2_T	0.881626
AHRR_T	0
AHR_T	0.919675
AICDA_T	0.90477
AIF1_T	0
AIFM2_T	0
AIFM3_T	0
AIM1L_T	1.04851
AIM1_T	0
AIRE_T	0.95249
AK8_T	0
AKR1B10_T	0.89004
AKR1B15_T	0
AKR1C1_T	0
AKR1C2_T	0
AKR1C3_T	0
AKR1D1_T	1.07516
AKR1E2_T	0
AKR7A3_T	0
ALDH1A2_T	0
ALDH1L1_T	0
ALDH8A1_T	0
ALG1L2_T	0
ALKBH6_T	0
ALK_T	0
ALOX12B_T	0
ALOX12_T	1.23811
ALOX15_T	0
ALOX5AP_T	0
ALOX5_T	0
ALPK2_T	1.15251
ALS2CL_T	1.22085
ALX3_T	0
ALX4_T	0.881626
AMBP_T	0
AMDHD1_T	0
AMIGO3_T	0
AMN_T	0
AMY2B_T	0
ANGPT1_T	1.03254
ANGPT2_T	0.89004
ANGPT4_T	0
ANGPTL4_T	0
ANG_T	0
ANKAR_T	0.923834
ANKFN1_T	0
ANKHD1-EIF4EBP3_T	0
ANKMY1_T	0
ANKRD20A1_T	1.08626
ANKRD20A3_T	0
ANKRD20A4_T	0
ANKRD22_T	0
ANKRD23_T	0
ANKRD29_T	0
ANKRD2_T	0
ANKRD31_T	0
ANKRD34B_T	0
ANKRD44_T	1.18912
ANKRD53_T	0
ANKRD65_T	0
ANKRD9_T	0
ANKS4B_T	1.21513
ANO1_T	1.1566
ANO2_T	0
ANO7_T	0
ANO9_T	0
ANP32D_T	0
ANPEP_T	0
ANXA8L1_T	0
ANXA9_T	0
AOAH_T	0
AOC3_T	0
AP1M2_T	0
AP3B2_T	0
AP4B1_T	0
AP5S1_T	0
APBA1_T	0
APC2_T	0
APLN_T	0
APOA1_T	0
APOA2_T	0
APOBEC3A_T	0
APOBEC3B_T	0
APOBR_T	0
APOB_T	0
APOC3_T	0
APOC4_T	0
APOL6_T	0.883285
APOM_T	0
AQP4_T	1.12986
AQP5_T	0
AQP7_T	0
ARAP2_T	0
ARC_T	0
ARHGAP10_T	0
ARHGAP15_T	0
ARHGAP20_T	0
ARHGAP22_T	0
ARHGAP25_T	0
ARHGAP27_T	0
ARHGAP31_T	0
ARHGAP8_T	0
ARHGDIB_T	0
ARHGDIG_T	0
ARHGEF15_T	0
ARHGEF19_T	0
ARHGEF33_T	0
ARHGEF35_T	0
ARHGEF37_T	0
ARHGEF38_T	0
ARHGEF5_T	0.992982
ARID5A_T	0
ARL11_T	0
ARMC12_T	0
ARMCX5-GPRASP2_T	0
ARPC4-TTLL3_T	1.07096
ARPM1_T	0
ARRDC2_T	0
ARSF_T	0
ARTN_T	0
ASAH2_T	0
ASB11_T	0
ASB12_T	0
ASB16_T	0
ASB2_T	0
ASB4_T	0
