orthoID	genes
OG1_0	A1BG,A1BG_B,A1BG_C,A1BG_D,A1BG_E,A1BG_F,A1BG_G,A1BG_H,A1BG_I,A1BG_J,A1BG_K,A1BG_L,A1BG_M,A1BG_N,A1BG_O,A1BG_P,A1BG_Q,A1BG_R,A1BG_S,A1BG_T
OG2_0	A1CF,A1CF_B,A1CF_C,A1CF_D,A1CF_E,A1CF_F,A1CF_G,A1CF_H,A1CF_I,A1CF_J,A1CF_K,A1CF_L,A1CF_M,A1CF_N,A1CF_O,A1CF_P,A1CF_Q,A1CF_R,A1CF_S,A1CF_T
OG3_0	A2LD1,A2LD1_B,A2LD1_C,A2LD1_D,A2LD1_E,A2LD1_F,A2LD1_G,A2LD1_H,A2LD1_I,A2LD1_J,A2LD1_K,A2LD1_L,A2LD1_M,A2LD1_N,A2LD1_O,A2LD1_P,A2LD1_Q,A2LD1_R,A2LD1_S,A2LD1_T
OG4_0	A4GALT,A4GALT_B,A4GALT_C,A4GALT_D,A4GALT_E,A4GALT_F,A4GALT_G,A4GALT_H,A4GALT_I,A4GALT_J,A4GALT_K,A4GALT_L,A4GALT_M,A4GALT_N,A4GALT_O,A4GALT_P,A4GALT_Q,A4GALT_R,A4GALT_S,A4GALT_T
OG5_0	AAAS,AAAS_B,AAAS_C,AAAS_D,AAAS_E,AAAS_F,AAAS_G,AAAS_H,AAAS_I,AAAS_J,AAAS_K,AAAS_L,AAAS_M,AAAS_N,AAAS_O,AAAS_P,AAAS_Q,AAAS_R,AAAS_S,AAAS_T
OG6_0	AACS,AACS_B,AACS_C,AACS_D,AACS_E,AACS_F,AACS_G,AACS_H,AACS_I,AACS_J,AACS_K,AACS_L,AACS_M,AACS_N,AACS_O,AACS_P,AACS_Q,AACS_R,AACS_S,AACS_T
OG7_0	AADAT,AADAT_B,AADAT_C,AADAT_D,AADAT_E,AADAT_F,AADAT_G,AADAT_H,AADAT_I,AADAT_J,AADAT_K,AADAT_L,AADAT_M,AADAT_N,AADAT_O,AADAT_P,AADAT_Q,AADAT_R,AADAT_S,AADAT_T
OG8_0	AAED1,AAED1_B,AAED1_C,AAED1_D,AAED1_E,AAED1_F,AAED1_G,AAED1_H,AAED1_I,AAED1_J,AAED1_K,AAED1_L,AAED1_M,AAED1_N,AAED1_O,AAED1_P,AAED1_Q,AAED1_R,AAED1_S,AAED1_T
OG9_0	AAGAB,AAGAB_B,AAGAB_C,AAGAB_D,AAGAB_E,AAGAB_F,AAGAB_G,AAGAB_H,AAGAB_I,AAGAB_J,AAGAB_K,AAGAB_L,AAGAB_M,AAGAB_N,AAGAB_O,AAGAB_P,AAGAB_Q,AAGAB_R,AAGAB_S,AAGAB_T
OG10_0	AAK1,AAK1_B,AAK1_C,AAK1_D,AAK1_E,AAK1_F,AAK1_G,AAK1_H,AAK1_I,AAK1_J,AAK1_K,AAK1_L,AAK1_M,AAK1_N,AAK1_O,AAK1_P,AAK1_Q,AAK1_R,AAK1_S,AAK1_T
OG11_0	AAMP,AAMP_B,AAMP_C,AAMP_D,AAMP_E,AAMP_F,AAMP_G,AAMP_H,AAMP_I,AAMP_J,AAMP_K,AAMP_L,AAMP_M,AAMP_N,AAMP_O,AAMP_P,AAMP_Q,AAMP_R,AAMP_S,AAMP_T
OG12_0	AARS,AARS_B,AARS_C,AARS_D,AARS_E,AARS_F,AARS_G,AARS_H,AARS_I,AARS_J,AARS_K,AARS_L,AARS_M,AARS_N,AARS_O,AARS_P,AARS_Q,AARS_R,AARS_S,AARS_T
OG13_0	AARS2,AARS2_B,AARS2_C,AARS2_D,AARS2_E,AARS2_F,AARS2_G,AARS2_H,AARS2_I,AARS2_J,AARS2_K,AARS2_L,AARS2_M,AARS2_N,AARS2_O,AARS2_P,AARS2_Q,AARS2_R,AARS2_S,AARS2_T
OG14_0	AARSD1,AARSD1_B,AARSD1_C,AARSD1_D,AARSD1_E,AARSD1_F,AARSD1_G,AARSD1_H,AARSD1_I,AARSD1_J,AARSD1_K,AARSD1_L,AARSD1_M,AARSD1_N,AARSD1_O,AARSD1_P,AARSD1_Q,AARSD1_R,AARSD1_S,AARSD1_T
OG15_0	AASDH,AASDH_B,AASDH_C,AASDH_D,AASDH_E,AASDH_F,AASDH_G,AASDH_H,AASDH_I,AASDH_J,AASDH_K,AASDH_L,AASDH_M,AASDH_N,AASDH_O,AASDH_P,AASDH_Q,AASDH_R,AASDH_S,AASDH_T
OG16_0	AASDHPPT,AASDHPPT_B,AASDHPPT_C,AASDHPPT_D,AASDHPPT_E,AASDHPPT_F,AASDHPPT_G,AASDHPPT_H,AASDHPPT_I,AASDHPPT_J,AASDHPPT_K,AASDHPPT_L,AASDHPPT_M,AASDHPPT_N,AASDHPPT_O,AASDHPPT_P,AASDHPPT_Q,AASDHPPT_R,AASDHPPT_S,AASDHPPT_T
OG17_0	AASS,AASS_B,AASS_C,AASS_D,AASS_E,AASS_F,AASS_G,AASS_H,AASS_I,AASS_J,AASS_K,AASS_L,AASS_M,AASS_N,AASS_O,AASS_P,AASS_Q,AASS_R,AASS_S,AASS_T
OG18_0	AATF,AATF_B,AATF_C,AATF_D,AATF_E,AATF_F,AATF_G,AATF_H,AATF_I,AATF_J,AATF_K,AATF_L,AATF_M,AATF_N,AATF_O,AATF_P,AATF_Q,AATF_R,AATF_S,AATF_T
OG19_0	AATK,AATK_B,AATK_C,AATK_D,AATK_E,AATK_F,AATK_G,AATK_H,AATK_I,AATK_J,AATK_K,AATK_L,AATK_M,AATK_N,AATK_O,AATK_P,AATK_Q,AATK_R,AATK_S,AATK_T
OG20_0	ABAT,ABAT_B,ABAT_C,ABAT_D,ABAT_E,ABAT_F,ABAT_G,ABAT_H,ABAT_I,ABAT_J,ABAT_K,ABAT_L,ABAT_M,ABAT_N,ABAT_O,ABAT_P,ABAT_Q,ABAT_R,ABAT_S,ABAT_T
OG21_0	ABCA1,ABCA1_B,ABCA1_C,ABCA1_D,ABCA1_E,ABCA1_F,ABCA1_G,ABCA1_H,ABCA1_I,ABCA1_J,ABCA1_K,ABCA1_L,ABCA1_M,ABCA1_N,ABCA1_O,ABCA1_P,ABCA1_Q,ABCA1_R,ABCA1_S,ABCA1_T
OG22_0	ABCA10,ABCA10_B,ABCA10_C,ABCA10_D,ABCA10_E,ABCA10_F,ABCA10_G,ABCA10_H,ABCA10_I,ABCA10_J,ABCA10_K,ABCA10_L,ABCA10_M,ABCA10_N,ABCA10_O,ABCA10_P,ABCA10_Q,ABCA10_R,ABCA10_S,ABCA10_T
OG23_0	ABCA12,ABCA12_B,ABCA12_C,ABCA12_D,ABCA12_E,ABCA12_F,ABCA12_G,ABCA12_H,ABCA12_I,ABCA12_J,ABCA12_K,ABCA12_L,ABCA12_M,ABCA12_N,ABCA12_O,ABCA12_P,ABCA12_Q,ABCA12_R,ABCA12_S,ABCA12_T
OG24_0	ABCA13,ABCA13_B,ABCA13_C,ABCA13_D,ABCA13_E,ABCA13_F,ABCA13_G,ABCA13_H,ABCA13_I,ABCA13_J,ABCA13_K,ABCA13_L,ABCA13_M,ABCA13_N,ABCA13_O,ABCA13_P,ABCA13_Q,ABCA13_R,ABCA13_S,ABCA13_T
OG25_0	ABCA2,ABCA2_B,ABCA2_C,ABCA2_D,ABCA2_E,ABCA2_F,ABCA2_G,ABCA2_H,ABCA2_I,ABCA2_J,ABCA2_K,ABCA2_L,ABCA2_M,ABCA2_N,ABCA2_O,ABCA2_P,ABCA2_Q,ABCA2_R,ABCA2_S,ABCA2_T
OG26_0	ABCA3,ABCA3_B,ABCA3_C,ABCA3_D,ABCA3_E,ABCA3_F,ABCA3_G,ABCA3_H,ABCA3_I,ABCA3_J,ABCA3_K,ABCA3_L,ABCA3_M,ABCA3_N,ABCA3_O,ABCA3_P,ABCA3_Q,ABCA3_R,ABCA3_S,ABCA3_T
OG27_0	ABCA5,ABCA5_B,ABCA5_C,ABCA5_D,ABCA5_E,ABCA5_F,ABCA5_G,ABCA5_H,ABCA5_I,ABCA5_J,ABCA5_K,ABCA5_L,ABCA5_M,ABCA5_N,ABCA5_O,ABCA5_P,ABCA5_Q,ABCA5_R,ABCA5_S,ABCA5_T
OG28_0	ABCA7,ABCA7_B,ABCA7_C,ABCA7_D,ABCA7_E,ABCA7_F,ABCA7_G,ABCA7_H,ABCA7_I,ABCA7_J,ABCA7_K,ABCA7_L,ABCA7_M,ABCA7_N,ABCA7_O,ABCA7_P,ABCA7_Q,ABCA7_R,ABCA7_S,ABCA7_T
OG29_0	ABCA9,ABCA9_B,ABCA9_C,ABCA9_D,ABCA9_E,ABCA9_F,ABCA9_G,ABCA9_H,ABCA9_I,ABCA9_J,ABCA9_K,ABCA9_L,ABCA9_M,ABCA9_N,ABCA9_O,ABCA9_P,ABCA9_Q,ABCA9_R,ABCA9_S,ABCA9_T
OG30_0	ABCB1,ABCB1_B,ABCB1_C,ABCB1_D,ABCB1_E,ABCB1_F,ABCB1_G,ABCB1_H,ABCB1_I,ABCB1_J,ABCB1_K,ABCB1_L,ABCB1_M,ABCB1_N,ABCB1_O,ABCB1_P,ABCB1_Q,ABCB1_R,ABCB1_S,ABCB1_T
OG31_0	ABCB10,ABCB10_B,ABCB10_C,ABCB10_D,ABCB10_E,ABCB10_F,ABCB10_G,ABCB10_H,ABCB10_I,ABCB10_J,ABCB10_K,ABCB10_L,ABCB10_M,ABCB10_N,ABCB10_O,ABCB10_P,ABCB10_Q,ABCB10_R,ABCB10_S,ABCB10_T
